0,1,2,Label
12.391201,9.163702,-8.78259,"Finnish
Finland"
12.862635,9.9319,-7.920865,"Finnish
Finland"
12.465683,9.260162,-8.692263,"Finnish
Finland"
13.305493,10.902182,-6.598836,"Finnish
Finland"
12.450025,9.244065,-8.708707,"Finnish
Finland"
13.041022,10.308963,-7.3051972,"Finnish
Finland"
12.778789,9.868599,-8.086112,"Finnish
Finland"
13.281666,10.874861,-6.630513,"Finnish
Finland"
13.286071,10.881309,-6.621623,"Finnish
Finland"
13.227635,10.813891,-6.7014847,"Finnish
Finland"
12.44421,9.694625,-8.517047,"Finnish
Finland"
12.500441,9.322693,-8.633488,"Finnish
Finland"
13.190684,10.769875,-6.7538147,"Finnish
Finland"
12.891779,10.103743,-7.72817,"Finnish
Finland"
12.334673,9.069529,-8.855979,"Finnish
Finland"
12.4940605,9.612205,-8.500943,"Finnish
Finland"
12.849543,10.041706,-7.8343244,"Finnish
Finland"
12.895273,10.080051,-7.7470927,"Finnish
Finland"
13.229641,10.817726,-6.6959243,"Finnish
Finland"
13.015438,10.345657,-7.3149,"Finnish
Finland"
12.934972,10.224263,-7.5488405,"Finnish
Finland"
12.823438,10.02307,-7.885821,"Finnish
Finland"
12.512898,9.753324,-8.4100275,"Finnish
Finland"
13.244959,10.83112,-6.6821775,"Finnish
Finland"
12.803727,9.836903,-8.096359,"Finnish
Finland"
13.20227,10.78161,-6.7448545,"Finnish
Finland"
12.936662,10.3279705,-7.443004,"Finnish
Finland"
12.882899,10.141581,-7.6964154,"Finnish
Finland"
12.262624,8.958805,-8.942665,"Finnish
Finland"
13.020813,10.350073,-7.310363,"Finnish
Finland"
13.022086,10.374902,-7.299901,"Finnish
Finland"
12.86783,10.207272,-7.6430583,"Finnish
Finland"
12.726922,9.9536495,-8.011753,"Finnish
Finland"
12.550378,9.489967,-8.514386,"Finnish
Finland"
12.438415,9.710671,-8.512009,"Finnish
Finland"
13.258075,10.850858,-6.655375,"Finnish
Finland"
12.860077,10.10268,-7.754119,"Finnish
Finland"
12.585354,9.509558,-8.467925,"Finnish
Finland"
12.735316,9.772275,-8.195911,"Finnish
Finland"
12.247863,8.937398,-8.960239,"Finnish
Finland"
12.942349,10.342854,-7.41647,"Finnish
Finland"
13.026174,10.35254,-7.308391,"Finnish
Finland"
12.430405,9.704174,-8.532664,"Finnish
Finland"
12.303906,9.008831,-8.900387,"Finnish
Finland"
12.712725,9.781126,-8.208736,"Finnish
Finland"
12.305102,9.013441,-8.897509,"Finnish
Finland"
12.876932,10.0030775,-7.8384585,"Finnish
Finland"
13.3167,10.913503,-6.5870686,"Finnish
Finland"
12.424334,9.20902,-8.742148,"Finnish
Finland"
12.392126,9.177759,-8.775899,"Finnish
Finland"
12.984559,10.359249,-7.3474483,"Finnish
Finland"
12.730788,9.821642,-8.1509695,"Finnish
Finland"
12.430623,9.688211,-8.531466,"Finnish
Finland"
12.988691,10.333106,-7.334609,"Finnish
Finland"
12.39687,9.171291,-8.776498,"Finnish
Finland"
12.731387,9.804095,-8.165245,"Finnish
Finland"
12.549149,9.734245,-8.398979,"Finnish
Finland"
12.907248,10.3775215,-7.4334054,"Finnish
Finland"
13.022922,10.3819065,-7.274339,"Finnish
Finland"
13.239753,10.829773,-6.6812873,"Finnish
Finland"
12.8502245,10.007401,-7.8601213,"Finnish
Finland"
13.200719,10.784783,-6.7352877,"Finnish
Finland"
12.906676,10.400806,-7.412354,"Finnish
Finland"
12.881827,10.09962,-7.7402444,"Finnish
Finland"
13.016635,10.333532,-7.322275,"Finnish
Finland"
12.436239,9.682609,-8.5281925,"Finnish
Finland"
12.890051,10.0945635,-7.733404,"Finnish
Finland"
12.264011,8.959145,-8.94288,"Finnish
Finland"
12.357134,9.102367,-8.827104,"Finnish
Finland"
11.596488,13.736968,14.957943,"Southern Han Chinese, China"
11.538301,13.752237,14.91282,"Southern Han Chinese, China"
11.506707,14.508151,14.976541,"Southern Han Chinese, China"
11.546144,13.64957,14.89479,"Southern Han Chinese, China"
11.328604,14.944875,15.106241,"Southern Han Chinese, China"
11.543266,13.710148,14.904753,"Southern Han Chinese, China"
11.394496,12.954466,14.574902,"Southern Han Chinese, China"
11.485246,13.573914,14.825023,"Southern Han Chinese, China"
11.515117,14.453582,14.969448,"Southern Han Chinese, China"
11.405375,13.111124,14.633789,"Southern Han Chinese, China"
11.488703,14.578422,14.9872,"Southern Han Chinese, China"
11.37286,12.875432,14.529394,"Southern Han Chinese, China"
11.392812,14.853976,15.04961,"Southern Han Chinese, China"
11.338018,14.935038,15.095904,"Southern Han Chinese, China"
11.413475,13.222232,14.680261,"Southern Han Chinese, China"
11.503391,14.511836,14.977652,"Southern Han Chinese, China"
11.435625,13.297061,14.718415,"Southern Han Chinese, China"
11.359182,14.906135,15.078936,"Southern Han Chinese, China"
11.37225,12.874484,14.528594,"Southern Han Chinese, China"
11.510937,14.467825,14.974537,"Southern Han Chinese, China"
11.417605,13.223034,14.682832,"Southern Han Chinese, China"
11.510554,14.4529085,14.972693,"Southern Han Chinese, China"
11.371772,12.86955,14.52631,"Southern Han Chinese, China"
11.532921,13.628079,14.880429,"Southern Han Chinese, China"
11.508438,14.4512415,14.973075,"Southern Han Chinese, China"
11.554332,13.746446,14.921138,"Southern Han Chinese, China"
11.385093,12.928333,14.558294,"Southern Han Chinese, China"
11.335139,14.939986,15.099738,"Southern Han Chinese, China"
11.402686,14.824939,15.043898,"Southern Han Chinese, China"
11.466077,14.651389,15.001928,"Southern Han Chinese, China"
11.510788,14.454232,14.976173,"Southern Han Chinese, China"
11.33496,14.940898,15.099234,"Southern Han Chinese, China"
11.424732,13.236715,14.693047,"Southern Han Chinese, China"
11.372536,12.868801,14.526878,"Southern Han Chinese, China"
11.4140005,13.210615,14.675324,"Southern Han Chinese, China"
11.546724,13.596466,14.8833275,"Southern Han Chinese, China"
11.5688505,13.771376,14.939824,"Southern Han Chinese, China"
11.566133,13.74944,14.934185,"Southern Han Chinese, China"
11.551076,13.659977,14.902932,"Southern Han Chinese, China"
11.352423,14.91701,15.080429,"Southern Han Chinese, China"
11.431562,13.274716,14.706636,"Southern Han Chinese, China"
11.550019,13.692709,14.887596,"Southern Han Chinese, China"
12.408684,11.447194,2.6350772,"Puerto Rican
Puerto Rico"
11.939594,10.6593685,3.0548124,"Puerto Rican
Puerto Rico"
12.417583,9.677257,-8.543936,"Puerto Rican
Puerto Rico"
11.384744,12.909237,14.554435,"Southern Han Chinese, China"
11.419414,13.23926,14.688589,"Southern Han Chinese, China"
11.481194,14.562611,14.991536,"Southern Han Chinese, China"
11.451956,14.6879425,15.012225,"Southern Han Chinese, China"
11.491266,13.432372,14.800189,"Southern Han Chinese, China"
